Name	Biografie
Müller, Florian	Geboren am 14. September 1987 in Attendorn römisch-katholisch verheiratet ein Kind. 2011 bis 2014 Studium und Abschluss als Master of Arts in Personal management in Dortmund; 2008 bis 2011 Studium und Abschluss als Bachelor of Arts Arbeitsmarkt management in Mannheim; 2007 bis 2008 Wehrdienst; 2007 Abitur am St. Franziskus Gymnasium in Olpe 2013 bis 2015 Pressesprecher der Agentur für Arbeit Siegen; 2015 bis 2019 Büroleiter des Bundestagsabgeordneten Dr. Matthias Heider; seit 2019 Referent für Strategie und Regulierung, Deutsche Lufthansa AG seit 2009 Mitglied des CDU Kreisvorstandes Olpe; seit 2019 stellv. Kreisvorsitzender, Stadtverbandsvorsitzender der CDU Drolshagen; seit 2016 Mitglied des Rates der Stadt Drolshagen; 2009 bis 2014 Stellv. Landesvorsitzender der Jungen Union; 2014 bis 2019 Chefredakteur des Mitgliedermagazins der Jungen Union Deutschlands und 2017 bis 2021 Mitglied des Bundesvorstands der Jungen Union Deutschlands
Müller-Gemmeke, Beate	Geboren am 7. Oktober 1960 in Frankfurt am Main konfessionslos verheiratet zwei Kinder. Ausbildung zur Erzieherin; 1981 Fachhochschulreife; 1984 bis 1988 Studium / Diplom-Sozialpädagogin (FH), Reutlingen. 1983 Anna Catharina, heilpädagogisches Jugendheim zur See, Spanien; 1986 bis 1990 Verlagsmitarbeiterin, Talheimer Verlag, Mössingen; 1990 bis 1996 Familienzeit; 1997 bis 2002 Kreisgeschäftsführerin, Bündnis 90/Die Grünen, Reutlingen; 2002 bis 2009 selbstständige Sozialpädagogin: Projektmanagement und ESF-Begleitung bei Trägern der aktiven Arbeitsmarktpolitik. Mitglied bei Verdi und der IG BCE; erste Vorsitzende des Fördervereins offene Jugendarbeit in Pliezhausen (seit 2003); Mitglied im Förderverein Rappertshofen; Genossin und Mitglied bei Sonnenergie Neckar-Alb; Nabu; Patin des Mehrgenerationenhauses Reutlingen; Fördermitglied bei der Arbeiterbildung, Reutlingen; Gründungsmitglied „Kamino“, Programmkino Reutlingen. 1989 bis 2014 Ortschafts- beziehungsweise Gemeinderätin in Pliezhausen (KLUB); seit 1997 Mitglied bei Bündnis 90/Die Grünen; 1998 bis 2015 Mitglied im Kreisvorstand Reutlingen; 2002 bis 2009 Basisvertreterin im Bundesfinanzrat von Bündnis 90/Die Grünen; seit 2003 Mitglied bei GewerkschaftsGrün; 2003 bis 2009 Mitglied im Landesvorstand von Bündnis 90/Die Grünen Baden-Württemberg; 2004 bis 2009 Kreisrätin im Landkreis Reutlingen; seit 2009 Sprecherin von GewerkschaftsGrün; 2015 bis 2017 Mitglied im Landesvorstand von Bündnis 90/Die Grünen Baden-Württemberg. Seit 2009 Mitglied des Bundestages, Sprecherin für ArbeitnehmerInnenrechte.
Müller, Michael	Geboren am 9. Dezember 1964 in Berlin evangelisch-lutherisch verheiratet zwei Kinder. 1982 Mittlere Reife; 1983 Fachoberschule Wirtschaft und Verwaltung; bis 1986 kaufmännische Lehre; 1986 bis 2011 selbstständiger Drucker. Seit 1981 Mitglied der SPD; 1991 bis 2000 Abteilungsvorsitzender; 2000 bis Mai 2004 Vorsitzender der SPD Tempelhof-Schöneberg; 2004 bis 2012 und 2016 bis 2020 Landesvorsitzender der SPD Berlin, Landesparteitags- und Kreisdelegierter; 1989 bis 1996 Mitglied der BVV Tempelhof, zuletzt Fraktionsvorsitzender. Mitglied des Abgeordnetenhauses von Berlin seit 1996; 2001 bis 2011 Vorsitzender der SPD-Fraktion, 2016 erneuter Gewinn des Direktmandats (Wahlbezirk Tempelhof-Schöneberg, Wahlkreis 4). 2011 bis 2014 Bürgermeister und Senator für Stadtentwicklung und Umwelt; seit 11. Dezember 2014 Regierender Bürgermeister von Berlin.  2017 bis 2018 Präsident des Bundesrates, 2018 bis 2020 Präsident des Städtenetzwerkes Metropolis.
Müller-Rosentritt, Frank	Geboren am 13. Juni 1982 in Chemnitz konfessionslos verheiratet drei Kinder. 2001 Abitur am Lessing-Gymnasium in Hohenstein-Ernstthal; 2001 bis 2002 Trompeter im Heeresmusikkorps III in Erfurt, Sanitätssoldat; 2002 bis 2005 Studium an der Dualen Hochschule Heidenheim/ Brenz, Abschluss als Diplom-Betriebswirt. Seit 2002 Mitarbeiter Deutsche Bank AG, 2005 Deutsche Bank, New York, 2005 bis 2010 Deutsche Bank Baden-Baden, seit 2011 Leiter Private Banking , Deutsche Bank Dresden und seit 2015 Geschäftsführender Gesellschafter der vermögensverwaltenden Gesellschaften Chemnitzer Grundbesitzgesellschaft bR und der Kamenica Immobilien GmbH. Lions Club Chemnitz Cosmopolitan ; Freunde der Kunstsammlungen Chemnitz. Landesvorsitzender der FDP Sachsen, seit 2017 Mitglied des Deutschen Bundestages.
Müller, Sascha	Geboren am 24. April 1970 in Essen verheiratet zwei Kinder. 1989 Abitur am Gymnasium Herzogenaurach; Studium der Politikwissenschaft in Erlangen (ohne Abschluss). Seit 1997 Sportjournalist beim Olympia-Verlag (Nürnberg) in der kicker-Digital-Redaktion. Mitglied im Bund Naturschutz Bayern und der Dienstleistungs-Gewerkschaft ver.di. Seit 1988 Mitglied bei Bündnis 90/Die Grünen; 1989 bis 1996 und 1999 bis 2002 im Vorstand von Bündnis 90/Die Grünen Ortsverband Herzogenaurach (davon 1989 bis 1996 als Vorsitzender), 1989 bis 1998 Mitglied im Kreisvorstand von Bündnis 90/Die Grünen Erlangen-Land (davon 1996 bis 1998 als Vorsitzender), 2002 bis 2007 Mitglied im Kreisvorstand von Bündnis 90/Die Grünen Nürnberg, 2011 bis 2021 Mitglied im Landesvorstand von Bündnis 90/Die Grünen Bayern (Schatzmeister).
Müller, Sepp	Geboren am 22. Januar 1989 in Lutherstadt Wittenberg konfessionslos ledig ein Kind. 2007 Abitur am Paul-Gerhardt Gymnasium in Gräfenhainichen, 2007 bis 2010 Ausbildung zum Bankkaufmann bei der Sparkasse Wittenberg, 2010 bis 2013 Abschluss zum Bankfachwirt (IHK), Prüfung zur Ausbildereignung, 2013 bis 2014 Studium zum Bankbetriebswirt, 2014 bis 2015 Managementstudiengang der Frankfurt School of Finance and Management für die Qualifikation zum diplomierten Bankbetriebswirt. 2010 bis 2015 Selbstständiger Finanzberater bei der S-Die Finanzberater Sparkassen GmbH, 2015 bis 2017 Firmenkundenberater bei der Deutschen Kreditbank AG in Halle. Seit 2020 Vorsitzender des Tourismusverbandes WelterbeRegion Anhalt-Dessau-Wittenberg. Seit 2004 Mitglied der JU, seit 2005 Mitglied der CDU, 2015 stellvertretender Vorsitzender CDU-Regionalverband Gräfenhainichen, seit 2018 Mitglied Kreisvorstand und Mitgliederbeauftragter, seit 2018 Vorsitzender Landesfachausschuss Finanzen der CDU. Seit 2007 Mitglied des Kreistages Wittenberg, seit 2009 Mitglied des Stadtrates Gräfenhainichen, seit Oktober 2017 Mitglied des Bundestages. Seit Oktober 2020 Vorsitzender Tourismusverband WelterbeRegion Anhalt-Dessau-Wittenberg.
Müntefering, Michelle	Geboren am 9. April 1980 in Herne evangelisch-lutherisch verheiratet. 1997 bis 1998 Ausbildung zur Kinderpflegerin; 2000 Abitur; 2002 bis 2007 Studium des Journalismus und PR mit dem Abschluss Bachelor of Arts; 2008 bis 2010 Volontariat bei der Vorwärts Verlagsgesellschaft mbH in Berlin. 2003 bis 2008 Freie Journalistin in der Öffentlichkeitsarbeit; 2008 bis 2009 Wissenschaftliche Mitarbeiterin des Deutschen Bundestages; seit 2010 Freie Journalistin. Mitgliedschaften unter anderem bei Die Falken, Amnesty International , IG BCE, Europa Union, AWO, Vizepräsidentin der Deutsch-Türkischen Gesellschaft. 1999 Eintritt in die SPD; seit 2002 stellvertretende Vorsitzende der SPD Herne; 2004 bis 2014 Mitglied des Landesvorstandes NRW SPD; 2004 bis 2013 Stadtverordnete im Rat der Stadt Herne. Seit 2013 Mitglied des Bundestages; seit März 2018 Staatsministerin im Auswärtigen Amt.
Münzenmaier, Sebastian	Geboren am 2. Juli 1989 in Darmstadt römisch-katholisch ledig. 2009 Abitur am Trifels-Gymnasium-Annweiler; 2009 bis 2010 Zivildienst im MSHD; 2010 bis 2016 Studium der Rechtswissenschaften in Mainz, nach Schwerpunktexamen beendet. 2012 bis 2016 Verkaufsleiter im Vertrieb, Versicherungs- und Finanzanlagenfachmann (IHK); 2014 bis 2016 Geschäftsführer der AfD/ FW-Stadtratsfraktion Mainz; 2016 bis 2017 Geschäftsführer der AfD-Landtagsfraktion Rheinland-Pfalz. 2011 bis 2012 Mitglied der Partei Die Freiheit; seit 2013 Mitglied der AfD und der Jungen Alternative; 2013 bis 2014 Landesvorsitzender der Jungen Alternative RLP; 2014 bis 2015 Beisitzer, dann stellvertretender Vorsitzender AfD Mainz; seit 2015 Vorsitzender der AfD Mainz. 2019 bis heute stellvertretender Vorsitzender der AfD Rheinland-Pfalz; seit 2019 stellvertretender Vorsitzender der AfD-Bundestagsfraktion; 2018 bis 2021 Vorsitzender des Ausschusses für Tourismus im Deutschen Bundestag. Mitglied des 1. FC Kaiserslautern e.V..
Mützenich, Dr. Rolf	Geboren am 25. Juni 1959 in Köln; verheiratet, zwei Kinder. 1975 Hauptschulabschluss; 1978 Abitur; 1979 Studium der Politikwissenschaft, Geschichte und Wirtschaftswissenschaft in Bonn, Duisburg und Bremen; 1990 Diplom; 1991 Promotion. Ab 1991 verschiedene Tätigkeiten in der Landesregierung Nordrhein-Westfalen und der Landtagsfraktion. Mitglied bei ver.di; Kindernöte e.V.; SJD - Die Falken, des Darmstädter Signals e.V.; des Max-Planck-Instituts für Gesellschaftsforschung in Köln und Mitglied im Kuratorium des Archivs der Arbeiterjugendbewegung; Vorstandsmitglied des Arbeitskreises für das ausländische Kind e.V. (alle Funktionen ehrenamtlich). Mitglied der SPD seit 1975. Mitglied des Bundestages seit 2002; 2004 bis 2009 abrüstungspolitischer Sprecher der SPD-Fraktion; 2009 bis 2013 außenpolitischer Sprecher der SPD-Bundestagsfraktion; 2013 bis 2019 stellvertretender Vorsitzender der SPD-Bundestagsfraktion für Außen-, Verteidigungs-, Menschenrechtspolitik und wirtschaftliche Zusammenarbeit; 4. Juni bis 24. September 2019 kommissarischer Vorsitzender der SPD-Bundestagsfraktion, seit dem 24. September Vorsitzender der SPD-Bundestagsfraktion.
Nacke, Dr. Stefan	Geboren am 27. Januar 1976 in Münster; römisch-katholisch; verheiratet, ein Kind. Abitur 1995. 1996 bis 2003 Studium der Fächer Philosophie, Katholische Theologie, Christliche Sozialwissenschaften an der Universität Münster. 2003 Abschluss Magister Artium. Anschließend Studium der Soziologie an der Universität Bielefeld von 2004 bis 2009. 2009 Abschluss Promotion. 2008 bis 2009 Generalsekretär der Föderation katholischer Familienverbände in Europa. Seit 2010 Zentralabteilungsleiter Politik, Wirtschaft und Soziales im Bischöflichen Generalvikariat Essen, dort seit 2014 wissenschaftlicher Referent des Bischofs von Essen (Arbeitsverhältnis ruht seit 1. Juni 2017). Mitglied der CDU seit 1998. 1998 bis 2002 Stellvertretender Vorsitzender des CDA-Kreisverbandes Münster. Mitglied im Bundesfachausschuss „Gesellschaftlicher Zusammenhalt“ der CDU Deutschlands. 2015 bis 2017 Sachverständiges Mitglied der Enquetekommission „Zukunft der Familienpolitik“ des Landtags Nordrhein-Westfalen. Abgeordneter des Landtags Nordrhein-Westfalen seit 1. Juni 2017.
Nanni, Sara	Geboren 1987 in Datteln; verheiratet, ein Kind. Aufgewachsen in Waltrop. Abitur in Münster 2007. Während der Schul- und Studienzeit diverse Tätigkeiten in der Gastronomie und im Vertrieb/ Marketing . Studium in Bordeaux /Stuttgart („Deutsch-Französische Sozialwissenschaften“ B.A. 2010) und in Frankfurt (Main)/Darmstadt („Friedens- und Konfliktforschung“ M.A. 2014). Ab 2012 berufliche Tätigkeiten an der Hessischen Stiftung Friedens- und Konfliktforschung ( Academic Peace Orchestra Middle East ; Salafismus in Deutschland), der RWTH Aachen (Pilotstudie Military-Technical Transformation Index ) und zuletzt der Hochschule Düsseldorf (H-2020 Project Dialogue about Radicalisation and Equality , am Forena). Mitgliedschaften: ADFC, Amnesty International , Plattform Zivile Krisenprävention, Deutsche Gesellschaft für die Vereinten Nationen, Verdi, Women in International Security Deutschland e.V. Politisches Engagement: In der Schulzeit im KiJuPa Waltrop und später in der grünen Jugend, im Studium beim Bildungsstreikbündnis Stuttgart und später dem AK Zivilklausel in Frankfurt (Main), 2009 Beitritt zur Partei Bündnis90/Die Grünen – dort u. a. im Sprecher:innen-Team der Bundesarbeitsgemeinschaft Frieden und Internationales von 2015 bis 2020 und Beisitzerin im Kreisvorstand des Kreisverbandes Düsseldorf von 2019 bis 2021, seit 2019 Mitglied im Forum Neue Sicherheitspolitik der Heinrich Böll Stiftung.
Nasr, Rasha	Geboren 1992 in Dresden und im Landkreis Meißen aufgewachsen. Von 2002 bis 2010 Besuch des Geschwister-Scholl-Gymnasiums in Nossen. Von 2010 bis 2014 Studium der Politikwissenschaft und Philosophie an der TU Dresden. Nach dem Bachelor -Abschluss zunächst Tätigkeit in der Pressestelle der TU Dresden, von 2016 bis 2017 zunächst Asylkoordinatorin, später Integrationsbeauftragte der Stadt Freiberg. 2017 Eintritt in die SPD. Von 2017 bis 2020 in der Pressestelle der SPD Sachsen tätig, seit 2020 Büroleiterin des innenpolitischen Sprechers der SPD-Landtagsfraktion, Albrecht Pallas. Ehrenamtliche Beisitzerin im Vorstand der SPD Dresden und Stadtbezirksbeirätin für die SPD Dresden im Stadtbezirksbeirat Dresden Altstadt.
Nastic, Zaklin	Geboren am 29. Januar 1980 in Gdynia, Polen zwei Kinder. Abitur, Studium der Slawistik, West- und Südslawistik; Angehörigenpflegerin; Mitglied bei ver.di, VdK, VVN-BdA. Seit 2008 Mitglied Die Linke, 2016 bis 2018 und seit 2020 Landessprecherin Die Linke Hamburg, 2013 bis 2017 Mitglied im Bundesausschuss Die Linke, seit 2011 bis 2017 Mitglied Bezirksversammlung Hamburg-Eimsbüttel, u.a. Fraktionsvorsitzende, Sprecherin für Inklusion, Migration, Stadtplanung, Senioren und Gesundheit. August bis Oktober 2017 Mitglied der Hamburgischen Bürgerschaft, Sprecherin für Arbeitsmarktpolitik und Integration; seit 2017 Mitglied des Deutschen Bundestages, Sprecherin für Menschenrechtspolitik der Fraktion Die Linke. Seit 2018 Mitglied im Parteivorstand Die Linke.
Naujok, Edgar	Geboren am 25. Juni 1960 in Oggersheim ein Kind. 1966 bis 1975 Hauptschulabschluss (A-Kurs); 1975 bis 1977 Kfz.-Mechaniker Lehre; 1977 bis 1981 GA LLMrsKp260 Lebach, LLMrsKp250 Nagold 3.Zug/4.Zug, Abstecher bei 3.252 und 2.252, LLVersKp250 Calw. Fallschirmspringer, Fallschirmpacker, Luftverlader, Luftverlaster, Truppführer, Richtschütze, Funker, ABC-Abwehr, Kraftfahrer, Sanitäter, Silbernes Springerabzeichen, Schützenschnur und Leistungsabzeichen. 1981 bis 1985 AAFES Mannheim (Army and Airforce Exchange Service); 1986 bis 1987 USArmy München; 1987 bis 1988 Ausbildung zum Datenverarbeitungskaufmann Control Data Institut München; 1988 bis 1989 Münchner Verein, München Systemadministrator; 1989 bis 2021 Unternehmer, Enterprise Administrator, Datenschutzbeauftragter; 2016 Mitglied in der AfD. 2016 Vorstandsmitglied Landkreis Leipzig Mitgliederbetreuung; seit 2017 Kreisvorsitzender im Landkreis Leipzig; seit 2021 Stadtrat in Markranstädt.
Nestle, Dr. Ingrid	Geboren am 22. Dezember 1977 in Schwäbisch Gmünd verheiratet zwei Kinder. 1998 bis 2003 Studium Energie- und Umweltmanagement an der Uni und FH Flensburg (Diplom-Wirtschaftsingenieurin); 2004 bis 2009 wissenschaftliche Mitarbeiterin an der Universität Flensburg am Lehrstuhl für Energie- und Ressourcenökonomie;  2009 bis 2012 Mitglied des Bundestages, Sprecherin für Energiewirtschaft der Grünen Bundestagsfraktion;  2012 bis 2017 Staatssekretärin für Energiewende und technischen Umweltschutz in Schleswig-Holstein; seit Oktober 2017 Mitglied des Deutschen Bundestages, 19. Wahlperiode: Sprecherin für Energiewirtschaft der Grünen Bundestagsfraktion; Ordentliches Mitglied im Ausschuss für Wirtschaft und Energie Stellvertretendes Mitglied im Ausschuss für Verkehr und digitale Infrastruktur, Mitglied der Fraktion im Beirat der BNetzA.
Nick, Dr. Ophelia	Geboren 1973 in Herdecke, in Dortmund bis zum Abitur zur Schule gegangen. Nach dem Abitur 1992 ein Jahr Landwirtschaftslehre, dann an der FU Berlin Tiermedizinstudium und erfolgreich im Jahr 2000 abgeschlossen. Verheiratet, vier Söhne. Beruflich Promotion an der LMU München, Veröffentlichung des „4-Wochen Erziehungsprogrammes für Hunde“ und 2019 Veröffentlichung „Neue Bauern braucht das Land“. Geschäftsführerin der Lebendigen Landwirtschaft gGmbH seit 2018. Mitglied im Beirat des Maschinenbauunternehmens Voith, und Geschäftsführerin der Familiengesellschaften. Geschäftsführerin der IG Talhof gGmbH und Vorsitz des Vereins Talhof erLeben e.V. Politisch: 6 Jahre im Rat der Stadt Wülfrath, 5 Jahre Kreissprecherin im Kreis Mettmann der Grünen, 4 Jahre im Landesvorstand Nordrhein-Westfalen der Grünen, 4 Jahre Sprecherin der Landesarbeitsgemeinschaft Wald, Landwirtschaft &amp; Ländlicher Raum und 5 Jahre Sprecherin der Bundesarbeitsgemeinschaft Landwirtschaft &amp; Ländliche Entwicklung der Grünen. Engagiert in Vereinen und gemeinnützigen Organisationen.
Nickholz, Brian	Geboren am 22. Dezember 1989; verheiratet. Gelernter Industriekaufmann, Mitglied im Rat der Stadt Marl von 2009 bis 2021. Allgemeine Hochschulreife, Ausbildung zum Industriekaufmann. Nach der Ausbildung angestellt als Innovation Administrator bei Wilo SE in Dortmund; 2013 bis 2016 angestellt beim Landesverband der SJD- Die Falken NRW als Assistenz der Geschäftsführung und des Vorstands / zentrale Sachbearbeitung; seit 2016 Geschäftsführer der SPD-Fraktion im Rat der Stadt Marl. 2005 Eintritt in die SPD; 2012 bis 2016 Juso-Kreisverbandsvorsitzender im Kreis Recklinghausen; 2015 bis 2021 SPD-Ortsvereinsvorsitzender in Alt-Marl/Brassert; seit 2018 Stadtverbandsvorsitzender der SPD in Marl. Mitglied der SPD-Ratsfraktion seit 2007 (als sachkundiger Bürger; seit 2009 als Ratsmitglied); seit 2014 vom Rat der Stadt Marl in den Aufsichtsrat der Klinikum Vest GmbH und der Klinikum Vest Service GmbH entsandt. Mitglied der Arbeiterwohlfahrt (AWO), von Borussia Dortmund, beim Bund der Pfadfinderinnen und Pfadfinder (BdP), im Stamm Ritter vom Loe zum Loe Marl, in der Sozialdemokratische Gemeinschaft für Kommunalpolitik in der Bundesrepublik Deutschland e.V. (SGK), beim Bund für Umwelt und Naturschutz Deutschland (BUND), im Förderverein Klara Hospiz e.V., Bergbautradition e.V., in der Industriegewerkschaft Bergbau, Chemie, Energie (IG BCE), bei der SJD – Die Falken und in der Alten Schmiede Marl.
Nicolaisen, Petra	Geboren am 12. Dezember 1965 in Schleswig evangelisch verheiratet zwei Kinder. 1982 Realschule mit Abschluss; 1982 bis 1985 Ausbildung zur Industriekauffrau; 1986 Ausbildung zur Führung eines Güternah- und Fernverkehrsunternehmens. 1985 bis 1987 Angestellte der Finanzbuchhaltung in einem EG-Schlachthof; seit 1987 Angestellte im Viehhandelsunternehmen JP Nicolaisen GmbH. 1982 bis 1993 Mitglied Junge Union; seit 1993 Mitglied CDU; 1994 bis 2003 Gemeindevertreterin Wanderup; 2003 bis 2013 Bürgermeisterin Wanderup; 2007 bis 2009 Mitglied des Kreistages Schleswig-Flensburg; 2008 bis 2013 Stellvertretende Amtsvorsteherin des Amts Eggebek; seit 2011 stellvertretende CDU Kreisvorsitzende Schleswig-Flensburg; seit 2015 stellvertretende Vorsitzende Frauen Union Schleswig-Holstein; 2009 bis 2017 Landtagsabgeordnete in Schleswig-Holstein. seit 2012 Vorstandsmitglied der Hermann-Ehlers-Stiftung e.V.; seit 2012 Vorstandsmitglied Akademie für ländliche Räume; seit 2016 Aufsichtsratsmitglied der evangelisch-lutherischen Diakonissenanstalt zu Flensburg.
Nietan, Dietmar	Geboren am 25. Mai 1964 in Düren; evangelisch; verheiratet, zwei Kinder. 1970 bis 1974 Martin-Luther-Grundschule in Düren, 1974 bis 1983 Burgau-Gymnasium in Düren, Abitur. 1983 bis 1985 Zivildienst im St. Augustinus Krankenhaus in Düren-Lendersdorf. Studium der Biologie und der Sozialwissenschaften an der Universität Köln (ohne Abschluss). Pflegediensthelfer, Tutor an der Mathematisch-Naturwissenschaftlichen Fakultät der Universität Köln, Mitarbeiter bei einer Büromaschinen Vertrieb und Service GmbH, Wahlkreismitarbeiter, Bundestagsabgeordneter, Europapolitischer Koordinator, Mitarbeiter Martin Schulz, MdEP. Mitglied u. a. der Gewerkschaft Erziehung und Wissenschaft (GEW), Arbeiterwohlfahrt (AWO), Naturfreunde, BUND und NABU. Vorsitzender des Stiftungsrates der Stiftung für die internationale Jugendbegegnungsstätte Oswiecim, Oswiecim (Polen), Mitglied des Kuratoriums der Stiftung „Erinnerung, Verantwortung und Zukunft“, Berlin; Mitglied der Bildungsgemeinschaft Rurland e.V.. 1981 Eintritt in die SPD; 1987 bis 1988 Juso-Unterbezirksvorsitzender Düren, 1988 bis 1990 Mitglied im Bezirksvorstand der Juso Mittelrhein; 1990 bis 1998 Vorsitzender des SPD Ortsvereins Düren-Mitte, 1998 bis 2018 Vorsitzender des SPD Unterbezirks Düren, 2005 bis 2014 Vorsitzender der SPD Mittelrhein, seit 2014 Schatzmeister der SPD. 1984 bis 1994 sachkundiger Bürger der Stadt Düren, seit 1994 Mitglied des Kreistages Düren, hier bis 1999 Vorsitzender des Jugendhilfeausschusses des Kreises Düren und jugendpolitischer Sprecher der SPD-Kreistagsfraktion, seit 11/2010 Vorsitzender der Deutsch-Polnischen Gesellschaft (Bundesverband). Mitglied des Bundestages 1998 bis 2005 und seit Oktober 2009; 2004 bis 2005 Mitglied im erweiterten Vorstand der SPD-Fraktion.
Nolte, Jan Ralf	Geboren am 30. Dezember 1988 in Bremen; russisch-orthodox; verheiratet. Realschulabschluss. Ausbildung als Verkäufer, kaufmännischer Assistent für Fremdsprachen und Bürokommunikation. Seit 2008 Soldat, Oberbootsmann. Seit 2014 Mitglied der AfD. Stellvertretender Fraktionsvorsitzender im Landkreis Waldeck-Frankenberg. MdB seit Oktober 2017.
Notz, Dr. Konstantin von	Geboren am 21. Januar 1971 in Mölln; verheiratet. 1981 bis 1991 Freiherr-von-Stein-Schule in Frankfurt; 1991 bis 1992 Zivildienst in der Bahnhofsmission HBF Frankfurt; 1993 bis 1998 Jura-Studium in Heidelberg; 1998 erstes Staatsexamen; anschließend Dissertation im Evangelischen Kirchenrecht; 2001 bis 2004 Referendariat und Zweites Staatsexamen; 2004 bis heute Rechtsanwalt in Mölln. Mitgliedschaft bei Transparency International (TI) Deutschlands. Seit 1995 Mitglied bei Bündnis 90/Die Grünen; 2002 bis 2011 Sprecher der Landesarbeitsgemeinschaft Demokratie und Recht von Bündnis 90/Die Grünen in Schleswig-Holstein; seit 2004 Mitglied von Bündnis 90/Die Grünen in der Möllner Stadtvertretung; seit Juni 2013 3. stellvertretender Bürgermeister der Stadt Mölln; 2002, 2005, 2009 und 2013 Direktkandidat von Bündnis 90/Die Grünen bei den Bundestagswahlen im Wahlkreis 10 (Herzogtum Lauenburg/ Stormarn-Süd); seit 2005 Mitglied des schleswig-holsteinischen Parteirats; 2007 bis 2011 Sprecher des Kreisverbandes Lauenburg von Bündnis 90/Die Grünen; 2009 und 2013 Spitzenkandidat von Bündnis 90/Die Grünen Schleswig-Holstein für die Bundestagswahlen. Mitglied des Bundestages seit 2009; seit 2013 stellvertretender Fraktionsvorsitzender; 2009 bis 2013 innenpolitischer Sprecher der Fraktion Bündnis 90/Die Grünen; 2013 bis 2017 netzpolitischer Sprecher der Fraktion Bündnis 90/Die Grünen; seit 2017 Beauftragter für Religion und Weltanschauungen.
Nouripour, Omid	Geboren am 18. Juni 1975 in Teheran (Iran); Muslim; verheiratet; ein Kind. 1979 bis 1988 Grund- und Mittelschule in Teheran; 1988 bis 1996 Gymnasium und Abitur in Frankfurt a.M.; 1996 bis 2004 Studium Deutsche Philologie, Politikwissenschaft, Philosophie und Rechtswissenschaft in Mainz (ohne Abschluss). Während des Studiums diverse Tätigkeiten, u.a. freie Mitarbeit Frankfurter Rundschau; Abgeordnetenmitarbeiter bis 2002; von 2002 bis 2006 Bundesvorstandsmitglied von Bündnis 90/Die Grünen; ab 2006 Bundestagsabgeordneter. Mitgliedschaft in gesellschaftlichen Organisationen: JEF - Junge europäische Föderalisten; Einwandfrei e.V. – Verein für Kunst im Öffentlichen Raum; Europa Union e.V. Frankfurt a.M.; Eintracht Frankfurt e.V.; Freundeskreis Freiburg – Isfahan e.V.; DAFG – Deutsch-Arabische Freundschaftsgesellschaft e.V.; Ehrenmitglied Grüne Jugend Hessen; Förderverein des Fritz-Bauer-Instituts Frankfurt a.M.; Kritische Umweltaktionäre der Fraport AG e.V.; Vorstandsmitglied Atlantikbrücke e.V., Vorstandsmitglied Deutsche Atlantische Gesellschaft e.V.. Vorsitzender des Eintracht-Fanclub, Eintracht-Fanclub „bundesAdler“ im Bundestag. Seit 1996 Mitglied der Grünen; 2002 bis 2009 Sprecher der Bundesarbeitsgemeinschaft Migration &amp; Flucht; 1999 bis 2003 Vorsitzender der Grünen Jugend Hessen; 2002 bis 2006 Mitglied des Bundesvorstands von Bündnis 90/Die Grünen; seit 2006 Mitglied des Deutschen Bundestages. Berufliche Tätigkeit vor der Mitgliedschaft im Deutschen Bundestag als selbständiger Berater, Kronberg.
Nürnberger, Jörg	Geboren am 17. April 1967 in Wunsiedel; verheiratet seit 2004, zwei Kinder 1973 bis 1977 Grundschule Tröstau, 1977 bis 1986 Gymnasium Wunsiedel. Wehrdienst bei der Luftwaffe von 1986 bis 1988. Zunächst als Grundwehrdienstleistender, dann Reserveoffiziersausbildung als Soldat auf Zeit, Lehrgangsbester an der Offiziersschule der Luftwaffe in Fürstenfeldbruck. 1988 bis 1993 Jurastudium an der Uni Bayreuth. Mitglied des Sprecherrats des studentischen Konvents und Mitglied des Senats der Universität Bayreuth. Erlernen von Tschechisch als dritte Fremdsprache. Erste Staatsprüfung 1993. Juristischer Vorbereitungsdienst von 1993 bis 1995. Unter anderem Landgericht Hof, Staatsanwaltschaft Hof, Landratsamt Wunsiedel, Euregio Egrensis, Anwaltskanzlei in Prag. Zweite Staatsprüfung 1995. Zwischen 1995 und 1999 Arbeit als Jurist für eine österreichische Kanzlei in Prag und Wien. Zulassung als Rechtanwalt in Deutschland und Tschechien 1997, in Österreich 1999. Partner einer weltweit tätigen Anwaltskanzlei 1999 bis 2009. Seit 2009 Selbstständiger Anwalt in Deutschland, Tschechien und Österreich. Eintritt in die SPD 1985; Gemeinderat in der Gemeinde Tröstau seit 2008, Kreisrat im Kreistag des Landkreises Wunsiedel im Fichtelgebirge seit 2014; Mitglied beziehungsweise stellvertretendes Mitglied im Aufsichtsrat des Klinikums Fichtelgebirge seit 2014, Vorsitzender der OberfrankenSPD und Vorsitzender der HochfrankenSPD seit 2019. Seit 2009 beratendes Mitglied des Landesvorstands und des Präsidiums der BayernSPD. Mitglied im Bundesvorstand der Seligergemeinde. Stellvertretender Hauptvorsitzender des Fichtelgebirgsvereins seit 2015. Mitgliedschaften in Arbeiterwohlfahrt, Fichtelgebirgsverein, Historischer Verein für Oberfranken, Seligergemeinde.
Oehl, Lennard	Geboren am 1. Juni 1993 in Frankfurt am Main.
